created_at,entry_id,field1,field2
2018-12-27 13:42:27 UTC,298,22.6,60.8
2018-12-27 13:42:46 UTC,299,22.6,60.7
2018-12-27 13:43:05 UTC,300,22.6,62.2
2018-12-27 13:43:24 UTC,301,22.6,60.9
2018-12-27 13:43:43 UTC,302,22.5,60.3
2018-12-27 13:44:02 UTC,303,22.5,60.7
2018-12-27 13:44:21 UTC,304,22.5,61.8
2018-12-27 13:44:40 UTC,305,22.5,61.6
2018-12-27 13:44:59 UTC,306,22.5,62.6
2018-12-27 13:45:18 UTC,307,22.5,61.8
2018-12-27 13:45:37 UTC,308,22.5,61.4
2018-12-27 13:45:56 UTC,309,22.5,62.7
2018-12-27 13:46:15 UTC,310,22.4,61.2
2018-12-27 13:46:35 UTC,311,22.4,60.9
2018-12-27 13:46:53 UTC,312,22.4,60.5
2018-12-27 13:47:12 UTC,313,22.4,61.2
2018-12-27 13:47:31 UTC,314,22.4,61.9
2018-12-27 13:47:51 UTC,315,22.4,61.8
2018-12-27 13:48:09 UTC,316,22.4,61.6
2018-12-27 13:48:29 UTC,317,22.3,61.0
2018-12-27 13:48:48 UTC,318,22.3,61.4
2018-12-27 13:49:07 UTC,319,22.3,62.7
2018-12-27 13:49:27 UTC,320,22.3,61.9
2018-12-27 13:49:46 UTC,321,22.3,61.6
2018-12-27 13:50:05 UTC,322,22.3,61.9
2018-12-27 13:50:24 UTC,323,22.3,62.2
2018-12-27 13:50:43 UTC,324,22.3,62.3
2018-12-27 13:51:02 UTC,325,22.3,61.6
2018-12-27 13:51:21 UTC,326,22.2,61.2
2018-12-27 13:51:40 UTC,327,22.2,60.9
2018-12-27 13:51:59 UTC,328,22.2,60.5
2018-12-27 13:52:18 UTC,329,22.2,60.8
2018-12-27 13:52:37 UTC,330,22.2,60.7
2018-12-27 13:52:56 UTC,331,22.2,60.9
2018-12-27 13:53:15 UTC,332,22.2,61.2
2018-12-27 13:53:34 UTC,333,22.2,61.4
2018-12-27 13:53:53 UTC,334,22.2,61.1
2018-12-27 13:54:12 UTC,335,22.2,61.3
2018-12-27 13:54:31 UTC,336,22.1,60.7
2018-12-27 13:54:50 UTC,337,22.1,60.9
2018-12-27 13:55:09 UTC,338,22.1,61.1
2018-12-27 13:55:28 UTC,339,22.1,60.8
2018-12-27 13:55:49 UTC,340,22.1,61.2
2018-12-27 13:56:06 UTC,341,22.1,60.9
2018-12-27 13:56:26 UTC,342,22.0,60.7
2018-12-27 13:56:45 UTC,343,22.0,60.6
2018-12-27 13:57:04 UTC,344,22.0,60.7
2018-12-27 13:57:23 UTC,345,22.0,60.8
2018-12-27 13:57:42 UTC,346,22.0,61.3
2018-12-27 13:58:01 UTC,347,22.0,62.3
2018-12-27 13:58:21 UTC,348,22.0,61.8
2018-12-27 13:58:40 UTC,349,22.0,62.3
2018-12-27 13:58:59 UTC,350,21.9,61.3
2018-12-27 13:59:19 UTC,351,21.9,61.3
2018-12-27 13:59:37 UTC,352,21.9,60.8
2018-12-27 13:59:56 UTC,353,22.1,61.1
2018-12-27 14:00:16 UTC,354,21.9,61.1
2018-12-27 14:00:34 UTC,355,21.9,61.0
2018-12-27 14:00:53 UTC,356,21.9,61.0
2018-12-27 14:01:13 UTC,357,21.9,61.4
2018-12-27 14:01:32 UTC,358,21.9,61.0
2018-12-27 14:01:51 UTC,359,21.9,60.7
2018-12-27 14:02:11 UTC,360,21.9,61.0
2018-12-27 14:02:30 UTC,361,21.9,61.2
2018-12-27 14:02:49 UTC,362,21.8,60.9
2018-12-27 14:03:08 UTC,363,21.9,61.2
2018-12-27 14:03:27 UTC,364,21.9,60.8
2018-12-27 14:03:46 UTC,365,22.0,61.1
2018-12-27 14:04:04 UTC,366,21.9,61.2
2018-12-27 14:04:24 UTC,367,21.9,61.5
2018-12-27 14:04:43 UTC,368,21.9,61.5
2018-12-27 14:05:02 UTC,369,21.8,61.1
2018-12-27 14:05:21 UTC,370,21.8,61.2
2018-12-27 14:05:40 UTC,371,21.7,61.2
2018-12-27 14:05:59 UTC,372,21.8,60.9
2018-12-27 14:06:21 UTC,373,21.8,60.9
2018-12-27 14:06:38 UTC,374,21.8,61.0
2018-12-27 14:06:57 UTC,375,21.8,60.9
2018-12-27 14:07:17 UTC,376,21.9,60.8
2018-12-27 14:07:36 UTC,377,21.8,60.5
2018-12-27 14:07:54 UTC,378,21.7,61.1
2018-12-27 14:08:14 UTC,379,21.8,60.8
2018-12-27 14:08:32 UTC,380,21.8,60.9
2018-12-27 14:08:51 UTC,381,21.8,61.0
2018-12-27 14:09:10 UTC,382,21.8,61.2
2018-12-27 14:09:29 UTC,383,21.8,61.0
2018-12-27 14:09:48 UTC,384,21.8,61.0
2018-12-27 14:10:07 UTC,385,21.8,60.7
2018-12-27 14:10:26 UTC,386,21.8,61.0
2018-12-27 14:10:45 UTC,387,21.8,61.1
2018-12-27 14:11:04 UTC,388,21.8,61.6
2018-12-27 14:11:23 UTC,389,21.8,61.3
2018-12-27 14:11:42 UTC,390,21.8,60.9
2018-12-27 14:12:02 UTC,391,21.8,62.0
2018-12-27 14:12:21 UTC,392,21.8,61.9
2018-12-27 14:12:40 UTC,393,21.8,61.1
2018-12-27 14:12:59 UTC,394,21.8,61.3
2018-12-27 14:13:18 UTC,395,21.8,60.9
2018-12-27 14:13:37 UTC,396,21.8,61.1
2018-12-27 14:13:56 UTC,397,21.8,61.5
2018-12-27 14:14:16 UTC,398,21.8,61.5
2018-12-27 14:14:35 UTC,399,21.8,61.4
2018-12-27 14:14:54 UTC,400,21.8,60.8
2018-12-27 14:15:13 UTC,401,21.8,62.8
2018-12-27 14:15:32 UTC,402,21.8,61.7
